ds,yhat,yhat_lower,yhat_upper
2021-04-07,105.03450872428056,9.267571107527251,199.03081240769419
2021-04-08,108.58577042524664,21.18166742467205,197.33358971507724
2021-04-09,111.34715805354192,20.173381166637665,203.70580034813818
2021-04-10,106.74634382474544,19.870880191067656,202.17104988072992
2021-04-11,102.28295326527567,13.818081224389182,193.68629424742343
2021-04-12,99.84468688533609,6.351394775789168,182.857624308134
2021-04-13,103.05806747238466,9.186436087488497,195.069978494186
2021-04-14,108.0940892148567,15.881230045599679,197.18910665280308
2021-04-15,111.79453492475012,19.055513812172155,203.09780500935227
2021-04-16,114.83462440723419,22.53922707440557,199.07970919633019
2021-04-17,110.63078527771327,32.76085622420461,209.15932707179977
2021-04-18,106.6675938529209,13.714024635631002,192.35154501785928
2021-04-19,104.81434551269389,14.475558855449167,195.22432332618374
2021-04-20,108.67633396181016,26.913690420477966,197.11312928808343
2021-04-21,114.40110149979624,23.94165069091395,203.60170229949273
2021-04-22,118.80541075618595,29.045920920697,206.2681045129177
2021-04-23,122.53858382165191,33.10386828515036,215.9452776517915
2021-04-24,118.99098209176722,36.230945161771956,212.4228956302017
2021-04-25,115.62165606019407,24.844349456388702,202.20302363944936
2021-04-26,114.27560613577191,15.29675814179294,199.85705051103605
2021-04-27,118.53571612568746,30.385547484020588,213.4162151072302
2021-04-28,124.52960470103625,36.20679706684028,218.76847803580375
2021-04-29,129.05712993347166,38.07916754957154,218.46590138697218
2021-04-30,132.75417928490887,42.636435116460184,218.22936689066793
2021-05-01,129.00150698382885,43.168407960656666,213.00382021967155
2021-05-02,125.25263910034602,39.659236325770436,215.7346381443114
2021-05-03,123.35128115390901,30.716234912061033,213.93639381823738
2021-05-04,126.88328649871639,39.14475664283748,212.42176677349855
2021-05-05,131.9834303319206,48.32553147330311,225.1231915287028
2021-05-06,135.46272687660883,46.214460908615315,218.4187809215627
2021-05-07,137.9719274490521,54.58735710499109,226.79199032298288
2021-05-08,132.9099693940531,43.93665897404638,217.04703445459816
2021-05-09,127.75140675634435,33.8231037328972,215.4562160529235
2021-05-10,124.36327030528851,36.142090247928856,216.71829530679486
2021-05-11,126.35642982973283,36.63714301453598,219.5534481033069
2021-05-12,129.89171972078032,38.44025416418691,217.95977177501692
2021-05-13,131.80658264189574,46.14380208361431,221.0367148463133
2021-05-14,132.77788686297723,49.21306370636651,225.33046936614247
2021-05-15,126.22970525906032,40.97143504661073,216.9643718233592
2021-05-16,119.66010453341201,33.26875143337423,214.48613134136244
2021-05-17,114.95740918433073,26.733567078292747,199.89028979243477
2021-05-18,115.75102880028304,25.804558326019915,208.4946275849436
2021-05-19,118.21712372345068,29.828120340105215,212.23106193053928
2021-05-20,119.20487589032716,29.09050867737869,212.81806822439475
2021-05-21,119.39903010794143,30.54459758439816,216.46181679834987
